unaccepted_synonym,accepted_synonym
Mycetes ursinus,Alouatta seniculus ursina
Alouatta ursina,Alouatta seniculus ursina
Alticola roylei albicauda,Alticola albicaudus
Alticola acmaeus,Alticola albicaudus acmaeus
Alticola roylei argentatus,Alticola argentatus
Microtus argurus,Alticola argentatus argurus
Alticola roylei blanfordi,Alticola argentatus blanfordi
Arvicola blanfordi blanfordi,Alticola argentatus blanfordi
Alticola gracialis,Alticola argentatus gracialis
Alticola gracilis,Alticola argentatus gracilis
Alticola blanfordi lahulis,Alticola argentatus lahulis
Arvicola leucurus,Alticola argentatus leucura
Alticola longicauda,Alticola argentatus longicauda
Alticola roylei parvidens,Alticola argentatus parvidens
Alticola phasma,Alticola argentatus phasma
Alticola roylei rosanovi,Alticola argentatus rosanovi
Alticola severtzovi,Alticola argentatus severtzovi
Alticola roylei shnitnikovi,Alticola argentatus shnitnikovi
Alticola worthingtoni subluteus,Alticola argentatus subluteus
Alticola villosa,Alticola argentatus villosa
Alticola roylei worthingtoni,Alticola argentatus worthingtoni
Alticola worthingtoni worthingtoni,Alticola argentatus worthingtoni
Eothenomys lemminus,Alticola lemminus
Alticola macrotis vicina,Alticola lemminus vicina
Alticola altaica,Alticola macrotis altaica
Alticola fetisovi,Alticola macrotis fetisovi
Alticola vinogradovi,Alticola macrotis vinogradovi
Alticola roylei montosa,Alticola montosa
Alticola imitator,Alticola montosa imitator
Alticola argentatus olchonensis,Alticola olchonensis
Alticola baicalensis,Alticola olchonensis baicalensis
Arvicola roylei,Alticola roylei
Alticola roylei semicanus,Alticola semicanus
Microtus worthingtoni semicanus,Alticola semicanus
Alticola worthingtoni alleni,Alticola semicanus alleni
Microtus acrophilus,Alticola stoliczkanus
Microtus acrophilus,Alticola stoliczkanus acrophilus
Microtus kaznakovi,Alticola stoliczkanus kaznakovi
