unaccepted_synonym,accepted_synonym
Gazella soemmerringii casanovae,Nanger soemmerringii casanovae
Gazella soemmerringii erlangeri,Nanger soemmerringii erlangeri
Gazella soemmerringii sibyllae,Nanger soemmerringii sibyllae
Gazella soemmerringii soemmerringii,Nanger soemmerringii soemmerringii
Nannosciurus soricinus,Nannosciurus melanotis
Nannosciurus bancanus,Nannosciurus melanotis bancanus
Nannosciurus borneanus,Nannosciurus melanotis borneanus
Nannosciurus pulcher,Nannosciurus melanotis pulcher
Nannosciurus soricinus,Nannosciurus melanotis soricinus
Sciurus sumatranus,Nannosciurus melanotis sumatranus
Spalax leucodon ehrenbergi,Nannospalax ehrenbergi
Spalax kirgisorum ehrenbergi,Nannospalax ehrenbergi
Nannospalax leucodon aegyptiacus,Nannospalax ehrenbergi aegyptiacus
Spalax kirgisorum aegyptiacus,Nannospalax ehrenbergi aegyptiacus
Nannospalax leucodon berytensis,Nannospalax ehrenbergi berytensis
Spalax fritschi,Nannospalax ehrenbergi fritschi
Nannospalax leucodon intermedius,Nannospalax ehrenbergi intermedius
Nannospalax leucodon kirgisorum,Nannospalax ehrenbergi kirgisorum
Spalax kirgisorum,Nannospalax ehrenbergi kirgisorum
Spalax ehrenbergi nevoi,Nannospalax ehrenbergi nevoi
Spalax ehrenbergi tuncelicus,Nannospalax ehrenbergi tuncelicus
Spalax leucodon,Nannospalax leucodon
Spalax bulgaricus,Nannospalax leucodon bulgaricus
Spalax dobrogeae,Nannospalax leucodon dobrogeae
Spalax leucodon ehiki,Nannospalax leucodon ehiki
Spalax monticola hellenicus,Nannospalax leucodon hellenicus
Spalax hercegovinensis,Nannospalax leucodon hercegovinensis
Spalax hungaricus,Nannospalax leucodon hungaricus
Spalax leucodon ilici,Nannospalax leucodon ilici
Spalax monticola insularis,Nannospalax leucodon insularis
Spalax monticola labaumei,Nannospalax leucodon labaumei
Spalax makedonicus,Nannospalax leucodon makedonicus
Spalax montanoserbicus,Nannospalax leucodon montanoserbicus
Spalax montanosyrmiensis,Nannospalax leucodon montanosyrmiensis
Spalax monticola,Nannospalax leucodon monticola
Spalax ovchepolensis,Nannospalax leucodon ovchepolensis
Spalax leucodon petrovi,Nannospalax leucodon petrovi
Spalax leucodon rhodopiensis,Nannospalax leucodon rhodopiensis
Spalax serbicus,Nannospalax leucodon serbicus
Spalax leucodon sofiensis,Nannospalax leucodon sofiensis
Spalax leucodon srebarnensis,Nannospalax leucodon srebarnensis
Spalax syrmiensis,Nannospalax leucodon syrmiensis
Spalax monticola thermaicus,Nannospalax leucodon thermaicus
Spalax leucodon tranensis,Nannospalax leucodon tranensis
Spalax monticola transsylvanicus,Nannospalax leucodon transsylvanicus
Spalax monticola turcicus,Nannospalax leucodon turcicus
Nannospalax nehringi xanthodon,Nannospalax leucodon xanthodon
Spalax munzuri,Nannospalax munzuri
Nannospalax leucodon nehringi,Nannospalax nehringi
Spalax monticola nehringi,Nannospalax nehringi
Nannospalax leucodon anatolicus,Nannospalax nehringi anatolicus
Spalax monticola anatolicus,Nannospalax nehringi anatolicus
Nannospalax leucodon armeniacus,Nannospalax nehringi armeniacus
Nannospalax leucodon captorum,Nannospalax nehringi captorum
Nannospalax leucodon cilicicus,Nannospalax nehringi cilicicus
Spalax monticola cilicicus,Nannospalax nehringi cilicicus
Nannospalax leucodon corybantium,Nannospalax nehringi corybantium
Epomophorus veldkampii,Nanonycteris veldkampii
Zapus insignis,Napaeozapus insignis
Zapus insignis abietorum,Napaeozapus insignis abietorum
Zapus insignis insignis,Napaeozapus insignis insignis
Zapus insignis roanensis,Napaeozapus insignis roanensis
Napaeozapus insignis saquenayensis,Napaeozapus insignis saguenayensis
Cercopithecus capistratus,Nasalis larvatus
Cercopithecus nasica,Nasalis larvatus nasica
Cercopithecus recurvus,Nasalis larvatus recurvus
Nasua solitaria mexicana,Nasua narica mexicana
Nasus nasus molaris,Nasua narica molaris
Nasua nelsoni,Nasua narica nelsoni
Nasua rufa,Nasua narica rufa
Nasua thersites,Nasua narica thersites
Viverra vulpecula,Nasua narica vulpecula
Viverra nasua,Nasua nasua
Nasua candace,Nasua nasua candace
Nasua henseli cinerascens,Nasua nasua cinerascens
Nasua coati,Nasua nasua coati
Nasua candace dichromatica,Nasua nasua dichromatica
Nasua dorsalis,Nasua nasua dorsalis
Nasua gualeae,Nasua nasua gualeae
Nasua henseli,Nasua nasua henseli
Nasua quichua jivaro,Nasua nasua jivaro
Nasua judex,Nasua nasua judex
Nasua manium,Nasua nasua manium
Nasua mephisto,Nasua nasua mephisto
Nasua socialis mexiana,Nasua nasua mexiana
Nasua mondie,Nasua nasua mondie
Nasua montana,Nasua nasua montana
Nasua monticola,Nasua nasua monticola
Nasua nasua narica ?,Nasua nasua nasica
Nasua obfuscata,Nasua nasua obfuscata
Nasua phaeocephala,Nasua nasua phaeocephala
Nasua pusillus,Nasua nasua pusillus
Viverra quasje,Nasua nasua quasje
Nasua quichua,Nasua nasua quichua
Nasua narica rufa,Nasua nasua rufa
Nasua socialis var. rufa,Nasua nasua rufa
Nasua sociabilis,Nasua nasua sociabilis
Nasua solitaria mexicana,Nasua nasua solitaria
Nasua spadicea,Nasua nasua spadicea
Nasua olivacea,Nasuella olivacea
Nasua olivacea lagunetae,Nasuella olivacea lagunetae
Nasuella meridensis,Nasuella olivacea meridensis
Nasua olivacea oivacea,Nasuella olivacea olivacea
Nasua olivacea quitensis,Nasuella olivacea quitensis
Natalus major jamaicensis,Natalus jamaicensis
Natalus stramineus major,Natalus major
Natalus major primus,Natalus primus
Spectrellum stramineum,Natalus stramineus
Natalus dominicensis,Natalus stramineus dominicensis
Natalus esperitosantensis,Natalus stramineus esperitosantensis
Natalus stramineus espiritosantensis,Natalus stramineus esperitosantensis
Natalus mexicanus,Natalus stramineus mexicanus
Natalus mexicanus mexicanus,Natalus stramineus mexicanus
Natalus stramineus mexicanus,Natalus stramineus saturatus
Phodotes tumidirostris,Natalus tumidirostris
Hesperomys spinosus,Neacomys spinosus
Neacomys amoenus,Neacomys spinosus amoenus
Neacomys spinosus tenuipes,Neacomys tenuipes
Neacomys pusillus,Neacomys tenuipes pusillus
Amblysomus gunningi,Neamblysomus gunningi
Amblysomus julianae,Neamblysomus julianae
Bolomys amoenus,Necromys amoenus
Bolomys benefactus,Necromys benefactus
Akodon benefactus,Necromys benefactus
Bolomys lactens,Necromys lactens
Bolomys negrito,Necromys lactens negrito
Bolomys orbus,Necromys lactens orbus
Akodon orbus,Necromys lactens orbus
Bolomys lasiurus,Necromys lasiurus
Habrothrix lasiurus,Necromys lasiurus
Akodon arviculoides,Necromys lasiurus arviculoides
Hesperomys brachyurus,Necromys lasiurus brachyurus
Zygodontomys fuscinus,Necromys lasiurus fuscinus
Akodon fuscinus,Necromys lasiurus fuscinus
Zygodontomys lasiurus lasiurus,Necromys lasiurus lasiurus
Hesperomys orobinus,Necromys lasiurus orobinus
Zygodontomys pixuna,Necromys lasiurus pixuna
Akodon tapirapoanus,Necromys lasiurus tapirapoanus
Akodon tapirapoanus tapirapoanus,Necromys lasiurus tapirapoanus
Bolomys lenguarum,Necromys lenguarum
Cabreramys lenguarum,Necromys lenguarum
Bolomys lenguarum lenguarum,Necromys lenguarum lenguarum
Bolomys obscurus,Necromys obscurus
Necromys conifer,Necromys obscurus conifer
Bolomys obscurus obscurus,Necromys obscurus obscurus
Bolomys obscurus scagliarum,Necromys obscurus scagliarum
Bolomys punctulatus,Necromys punctulatus
Zygodontomys punctulatus,Necromys punctulatus
Hesperomys arvicoloides,Necromys punctulatus arviculoides
Hesperomys renggeri,Necromys punctulatus renggeri
Bolomys temchuki,Necromys temchuki
Bolomys temchuki elioi,Necromys temchuki elioi
Bolomys temchuki liciae,Necromys temchuki liciae
Bolomys temchuki temchuki,Necromys temchuki temchuki
Bolomys urichi,Necromys urichi
Akodon chapmani,Necromys urichi chapmani
Akodon urichi meridensis,Necromys urichi meridensis
Akodon urichi saturatus,Necromys urichi saturatus
Akodon urichi urichi,Necromys urichi urichi
Akodon urichi venezuelensis,Necromys urichi venezuelensis
Nyctogale elegans,Nectogale elegans
Nectogale sikhimensis,Nectogale elegans sikhimensis
Nectomys squamipes apicalis,Nectomys apicalis
Nectomys squamipes garleppii,Nectomys apicalis garleppii
Nectomys squamipes montanus,Nectomys apicalis montanus
Nectomys squamipes saturatus,Nectomys apicalis saturatus
Nectomys squamipes vallensis,Nectomys apicalis vallensis
Nectomys squamipes magdalenae,Nectomys magdalenae
Nectomys squamipes grandis,Nectomys magdalenae grandis
Nectomys squamipes palmipes,Nectomys palmipes
Nectomys squamipes tatei,Nectomys palmipes tatei
Hesperomys rattus,Nectomys rattus
Nectomys squamipes amazonicus,Nectomys rattus amazonicus
Nectomys squamipes mattensis,Nectomys rattus mattensis
Nectomys squamipes melanius,Nectomys rattus melanius
Nectomys mattensis melanius,Nectomys rattus melanius
Nectomys squamipes napensis,Nectomys rattus napensis
Nectomys parvipes,Nectomys rattus parvipes
Nectomys squamipes tarrensis,Nectomys rattus tarrensis
Potamys brasiliensis,Nectomys squamipes brasiliensis
Nectomys fulvinus,Nectomys squamipes fulvinus
Nectomys mattensis pollens,Nectomys squamipes pollens
Hesperomys robustus,Nectomys squamipes robustus
Acratocnus comes,Neocnus comes
Acratocnus gliriformis,Neocnus gliriformis
Acratocnus major,Neocnus major
Acratocnus toupiti,Neocnus toupiti
Pitymys sikimensis forresti,Neodon forresti
Microtus irene forresti,Neodon forresti
Pitymys sikimensis irene,Neodon irene
Microtus irene,Neodon irene
Pitymys irene irene,Neodon irene irene
Pitymys sikimensis oniscus,Neodon irene oniscus
Neodon oniscus,Neodon irene oniscus
Pitymys juldaschi,Neodon juldaschi
Microtus juldaschi,Neodon juldaschi
Microtus carruthers,Neodon juldaschi carruthersi
Microtus juldaschi carruthersi,Neodon juldaschi carruthersi
Microtus juldaschi judalschi,Neodon juldaschi judalschi
Microtus pamirensis,Neodon juldaschi pamirensis
Pitymys sikimensis,Neodon sikimensis
Microtus sikimensis,Neodon sikimensis
Arvicola thricolis,Neodon sikimensis thricolis
Microtus sikimensis thricolis,Neodon sikimensis thricolis
Felis diardi,Neofelis diardi
Tigris nebulosa,Neofelis nebulosa
Leopardus brachyurus,Neofelis nebulosa brachyurus
Felis macrocelis,Neofelis nebulosa macrocelis
Felis macrosceloides,Neofelis nebulosa macrosceloides
Felis {Neofelis) melli,Neofelis nebulosa melli
Microtus alleni,Neofiber alleni
Pseudohydromys fuscus,Neohydromys fuscus
Hylomys hainanensis,Neohylomys hainanensis
Neomys josti,Neomys anomalus josti
Neomys fodiens mokrzeckii,Neomys anomalus mokrzeckii
Neomys soricoides,Neomys anomalus soricoides
Sorex amphibius,Neomys fodiens amphibius
Neomys argenteus,Neomys fodiens argenteus
Sorex bicolor,Neomys fodiens bicolor
Neomys fodiens brachyotus,Neomys fodiens brachyotis
Sorex carinatus,Neomys fodiens carinatus
Sorex ciliatus,Neomys fodiens ciliatus
Sorex collaris,Neomys fodiens collaris
Crocidura russula constrictus,Neomys fodiens constrictus
Sorex daubentonii,Neomys fodiens daubentonii
Sorex eremita,Neomys fodiens eremita
Neomys griseogularis,Neomys fodiens griseogularis
Sorex hermanni,Neomys fodiens hermanni
Sorex hydrophilus,Neomys fodiens hydrophilus
Crosopus ignotus,Neomys fodiens ignotus
Neomys intermedius,Neomys fodiens intermedius
Neomys limchunhunii,Neomys fodiens limchunhunii
Sorex lineatus,Neomys fodiens lineatus
Amphisorex linneana,Neomys fodiens linneana
Sorex liricaudatus,Neomys fodiens liricaudatus
Sorex macrourus,Neomys fodiens macrourus
Neomys minor,Neomys fodiens minor
Sorex musculus,Neomys fodiens musculus
Neomys naias,Neomys fodiens naias
Sorex natans,Neomys fodiens natans
Neomys niethammeri,Neomys fodiens niethammeri
Neomys nigricans,Neomys fodiens nigricans
Sorex nigripes,Neomys fodiens nigripes
Neomys fodiens orientalis,Neomys fodiens orientis
Amphisorex pennantii,Neomys fodiens pennantii
Sorex psilurus,Neomys fodiens psilurus
Sorex remifer,Neomys fodiens remifer
Sorex rivalis,Neomys fodiens rivalis
Sorex stagnatilis,Neomys fodiens stagnatilis
Neomys stresemanni,Neomys fodiens stresemanni
Neomys watasei,Neomys fodiens watasei
Neomys anomalus teres,Neomys teres
Neomys fodiens balcaricus,Neomys teres balkaricus
Neomys schelkovnikovi,Neomys teres schelkovnikovi
Neomys fodiens leptodactylus,Neomys teresleptodactylus
Neomys schelkovnikovi leptodactylus,Neomys teresleptodactylus
Neophascogale nouhuysii,Neophascogale lorentzi
Phascogale nouhuysi,Neophascogale lorentzi nouhuysii
Phascogale venusta rubrata,Neophascogale lorentzi rubrata
Phascogale venusta,Neophascogale lorentzi venusta
Arctocephalus lobatus,Neophoca cinerea
Otaria albicollis,Neophoca cinerea albicollis
Otaria australis,Neophoca cinerea australis
Otaria cinerea,Neophoca cinerea cinerea
Arctocephalus lobatus,Neophoca cinerea lobatus
Arctocephalus williamsi,Neophoca cinerea williamsi
Delphinus melas,Neophocaena phocaenoides
Meomeris phocaenoides,Neophocaena phocaenoides
Neophocaena asiaeorientalis,Neophocaena phocaenoides asiaeorientalis
Neomeris kurrachiensis,Neophocaena phocaenoides kurrachiensis
Delphinapterus molagan,Neophocaena phocaenoides malogan
Delphinus melas,Neophocaena phocaenoides melas
Neophocaena sunameri,Neophocaena phocaenoides sunameri
Neotetracus sinensis,Neotetracus sinensis
Neotetrachus sinensis,Neotetracus sinensis
Hylomys sinensis cuttingi,Neotetracus sinensis cuttingi
Hylomys sinensis flavescens,Neotetracus sinensis flavescens
Hylomys sinensis fulvescens,Neotetracus sinensis fulvescens
Hylomys sinensis hypolineatus,Neotetracus sinensis hypolineatus
Hylomys sinensis sinensis,Neotetracus sinensis sinensis
Hylomys sinensis unicolor,Neotetracus sinensis unicolor
Neotoma intermedia albigula,Neotoma albigula
Neotoma intermedia angusticeps,Neotoma albigula angusticeps
Neotoma cumulator,Neotoma albigula cumulator
Neotoma desertorum grandis,Neotoma albigula grandis
Neotoma intermedia melanura,Neotoma albigula melanura
Neotoma montezumae,Neotoma albigula montezumae
Neotoma venusta,Neotoma albigula venusta
Neotoma mexicana angustapalata,Neotoma angustapalata
Neotoma lepida anthonyi,Neotoma anthonyi
Neotoma lepida bryanti,Neotoma bryanti
Neotoma lepida bunkeri,Neotoma bunkeri
Neotoma mexicana chrysomelas,Neotoma chrysomelas
Mus cinereus,Neotoma cinerea
Teonoma cinerea acraia,Neotoma cinerea acraia
Neotoma fuscus apicalis,Neotoma cinerea apicalis
Neotoma arizonae,Neotoma cinerea arizonae
Neotoma cinnamomea,Neotoma cinerea cinnamomea
Neotoma columbiana,Neotoma cinerea columbiana
Myoxus drummondii,Neotoma cinerea drummondii
Neotoma occidentalis fusca,Neotoma cinerea fusca
Neotoma grangeri,Neotoma cinerea grangeri
Teonoma cinerea occidentalis,Neotoma cinerea occidentalis
Neotoma orolestes,Neotoma cinerea orolestes
Neotoma rupicola,Neotoma cinerea rupicola
Neotoma saxamans,Neotoma cinerea saxamans
Neotoma lepida devia,Neotoma devia
Neotoma lepida aureotunicata,Neotoma devia aureotunicata
Neotoma lepida auripila,Neotoma devia auripila
Neotoma lepida bensoni,Neotoma devia bensoni
Neotoma lepida flava,Neotoma devia flava
Neotoma lepida harteri,Neotoma devia harteri
Neotoma lepida monstrabilis,Neotoma devia monstrabilis
Neotoma lepida sanrafaeli,Neotoma devia sanrafaeli
Neotoma albigula floridana,Neotoma floridana
Neotoma attwateri,Neotoma floridana attwateri
Neotoma baileyi,Neotoma floridana baileyi
Neotoma campestris,Neotoma floridana campestris
Neotoma pennsylvanica,Neotoma floridana pennsylvanica
Neotoma campestris rubida,Neotoma floridana rubida
Neotoma macrotis cnemophila,Neotoma fuscipes cnemophila
Neotoma macrotis dispar,Neotoma fuscipes dispar
Neotoma macrotis mohavensis,Neotoma fuscipes mohavensis
Neotoma monochroura,Neotoma fuscipes monochroura
Neotoma splendens,Neotoma fuscipes splendens
Neotoma albigula goldmani,Neotoma goldmani
Neotoma abbreviata,Neotoma lepida abbreviata
Neotoma intermedia arenacea,Neotoma lepida arenacea
Neotoma bella,Neotoma lepida bella
Neotoma californica,Neotoma lepida californica
Neotoma desertorum,Neotoma lepida desertorum
Neotoma bella felipensis,Neotoma lepida felipensis
Neotoma lepida gilvia,Neotoma lepida gilva
Neotoma insularis,Neotoma lepida insularis
Neotoma intermedia,Neotoma lepida intermedia
Neotoma nevadensis,Neotoma lepida nevadensis
Neotoma intermedia notia,Neotoma lepida notia
Neotoma nudicauda,Neotoma lepida nudicauda
Neotoma intermedia perpallida,Neotoma lepida perpallida
Neotoma intermedia pretiosa,Neotoma lepida pretiosa
Neotoma intermedia ravida,Neotoma lepida ravida
Neotoma desertorum sola,Neotoma lepida sola
Neotoma albigula leucodon,Neotoma leucodon
Neotoma albigula durangae,Neotoma leucodon durangae
Neotoma albigula latifrons,Neotoma leucodon latifrons
Neotoma albigula mearnsi,Neotoma leucodon mearnsi
Neotoma albigula melas,Neotoma leucodon melas
Neotoma albigula robusta,Neotoma leucodon robusta
Neotoma albigula subsolana,Neotoma leucodon subsolana
Neotoma albigula warreni,Neotoma leucodon warreni
Neotoma albigula zacatecae,Neotoma leucodon zacatecae
Neotoma fuscipes macrotis,Neotoma macrotis
Neotoma fuscipes luciana,Neotoma macrotis luciana
Neotoma fuscipes martirensis,Neotoma macrotis martirensis
Neotoma fuscipes simplex,Neotoma macrotis simplex
Neotoma fuscipes streatori,Neotoma macrotis streatori
Neotoma floridana magister,Neotoma magister
Neotoma lepida martinensis,Neotoma martinensis
Neotoma ferruginea chamula,Neotoma mexicana chamula
Neotoma distincta,Neotoma mexicana distincta
Neotoma fallax,Neotoma mexicana fallax
Neotoma ferruginea,Neotoma mexicana ferruginea
Neotoma fulviventer,Neotoma mexicana fulviventer
Neotoma ferruginea isthmica,Neotoma mexicana isthmica
Neotoma navus,Neotoma mexicana navus
Neotoma ferruginea ochracea,Neotoma mexicana ochracea
Neotoma orizabae,Neotoma mexicana orizabae
Neotoma parvidens,Neotoma mexicana parvidens
Neotoma picta,Neotoma mexicana picta
Neotoma pinetorum,Neotoma mexicana pinetorum
Neotoma sinaloae,Neotoma mexicana sinaloae
Neotoma ferruginea solitaria,Neotoma mexicana solitaria
Neotoma tenuicauda,Neotoma mexicana tenuicauda
Neotoma torquata,Neotoma mexicana torquata
Neotoma ferruginea tropicalis,Neotoma mexicana tropicalis
Neotoma ferruginea vulcani,Neotoma mexicana vulcani
Neotoma albigula micropus,Neotoma micropus
Neotoma albigula nelsoni,Neotoma nelsoni
Neotoma albigula palatina,Neotoma palatina
Teanopus phenax,Neotoma phenax
